RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,NAME,tomatch,distance,sidewalk_right,sidewalk_left,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
71500,16494,NOLL RD NE,Major Collector,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
71500,16510,NOLL RD NE,Minor Arterial,1,334,Rural,334,1 North,1 North,334,NA,NA,2,2,NA,4,1,1,2,2,334,668
71500,16501,NOLL RD NE,Minor Arterial,1,656,Rural,656,1 North,1 North,302,NA,NA,2,2,NA,4,1,1,2,2,302,604
71500,16501,NOLL RD NE,Minor Arterial,1,656,Rural,656,1 North,1 North,353,NA,NA,2,2,NA,4,1,1,2,2,353,706
71500,1863,NOLL RD NE,Minor Arterial,1,466,Rural,466,1 North,1 North,466,NA,NA,2,NA,NA,4,0,1,1,1,466,466
71500,1863,NOLL RD NE,Minor Arterial,1,466,Rural,466,1 North,1 North,0,NA,NA,NA,2,NA,4,1,0,1,1,0,0
71500,7568,NOLL RD NE,Minor Arterial,2,1059,Urban,1059,1 North,1 North,1057,NA,NA,2,NA,6,NA,0,1,1,1,1057,1057
71500,7568,NOLL RD NE,Minor Arterial,2,1059,Urban,1059,1 North,1 North,1051,NA,NA,NA,2,6,NA,1,0,1,1,1051,1051
71500,16627,NOLL RD NE,Minor Arterial,2,637,Urban,637,1 North,1 North,637,NA,NA,2,2,6,NA,1,1,2,2,637,1274
71500,2330,NOLL RD NE,Minor Arterial,1,187,Rural,187,1 North,1 North,187,NA,NA,2,NA,NA,4,0,1,1,1,187,187
71500,15919,NOLL RD NE,Minor Arterial,2,162,Urban,162,1 North,1 North,162,NA,NA,2,2,6,NA,1,1,2,2,162,324
71500,15923,NOLL RD NE,Minor Arterial,1,948,Rural,948,1 North,1 North,948,NA,NA,2,NA,NA,4,0,1,1,1,948,948
71500,15923,NOLL RD NE,Minor Arterial,1,948,Rural,948,1 North,1 North,918,NA,NA,NA,2,NA,4,1,0,1,1,918,918
71500,18455,NOLL RD NE,Minor Arterial,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
71500,19037,NOLL RD NE,Minor Arterial,1,153,Rural,153,1 North,1 North,153,NA,NA,2,2,NA,4,1,1,2,2,153,306
71500,19154,NOLL RD NE,Minor Arterial,2,0,Urban,0,1 North,1 North,0,NA,NA,2,NA,6,NA,0,1,1,1,0,0
70931,7181,JOHNSON WAY NE,Local Access,1,201,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,201,0
71500,2329,NOLL RD NE,Minor Arterial,1,306,Rural,306,1 North,1 North,306,NA,NA,2,2,NA,4,1,1,2,2,306,612
57216,4854,NE ORTIS RD,Local Access,1,924,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,924,0
87240,16488,NE OHMAN RD,Local Access,1,2455,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2455,0
70400,461,HANSVILLE RD NE,Major Collector,1,1974,Rural,1974,1 North,1 North,1974,NA,NA,7,8,NA,6,5,5,10,10,1974,19740
70400,19331,HANSVILLE RD NE,Major Collector,1,314,Rural,314,1 North,1 North,314,NA,NA,7,8,NA,6,5,5,10,10,314,3140
70771,2785,SEMINOLE RD NE,Local Access,1,1393,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1393,0
71500,12055,NOLL RD NE,Major Collector,2,2838,Urban,2838,1 North,1 North,2811,NA,NA,1,1,6,NA,1,1,2,2,2811,5622
8040,12928,FERN ST NE,Local Access,1,1154,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1154,0
500,6657,NE SEAVIEW AVE,Local Access,1,324,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,324,0
500,7530,NE SEAVIEW AVE,Local Access,1,283,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,283,0
500,19212,NE SPRUCE AVE,Local Access,1,121,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,121,0
500,7253,NE SPRUCE AVE,Local Access,1,464,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,464,0
70771,19292,SEMINOLE RD NE,Local Access,1,1651,Rural,1651,1 North,1 North,1651,NA,NA,2,2,NA,3,1,1,2,2,1651,3302
7013,6543,NW EQUESTRIAN DR,Local Access,1,441,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,441,0
7013,4226,NW EQUESTRIAN DR,Local Access,1,157,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,157,0
8056,11267,FLORENCE ST NE,Local Access,1,239,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,239,0
83670,2121,PARCELLS RD NE,Local Access,1,267,Rural,267,1 North,1 North,267,NA,NA,1,1,NA,3,1,1,2,2,267,534
89790,15867,SKUNK BAY RD NE,Local Access,1,1094,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1094,0
8025,12359,BEAR BERRY PL NE,Local Access,1,831,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,831,0
7013,5826,NW EQUESTRIAN DR,Local Access,1,2433,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2433,0
8006,9460,NE CARRIAGE DR,Local Access,1,970,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,970,0
7015,13221,BREIDABLICK PL NW,Local Access,1,628,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,628,0
8008,6267,NE 272ND ST,Local Access,1,428,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,428,0
8006,5854,NE CARRIAGE DR,Local Access,1,314,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,314,0
8028,817,NEWELLHURST CIR NE,Local Access,2,1025,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1025,0
7010,11168,LINCOLN PL NE,Local Access,1,269,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,269,0
500,10854,OLD MAN STATE PARK WAY,Local Access,1,180,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,180,0
74610,3405,NE LINCOLN RD E,Local Access,1,990,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,990,0
72380,6967,NE PEAR ST,Local Access,1,264,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,264,0
72380,15623,NE PEAR ST,Local Access,1,165,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165,0
7014,11366,4TH AVE NE,Local Access,1,255,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,255,0
84370,19217,WASHINGTON BLVD NE,Local Access,2,546,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,546,0
8030,9211,PUGET ST NE,Local Access,1,725,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,725,0
80600,13018,NE HARRIS AVE,Local Access,1,337,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,337,0
8013,5925,NE MIDWAY AVE,Local Access,1,185,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,185,0
8015,9009,NE EVERGREEN AVE,Local Access,1,282,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,282,0
8058,7467,HEMLOCK ST NE,Local Access,1,217,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,217,0
8039,3276,ALDER ST NE,Local Access,1,898,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,898,0
8039,1086,ALDER ST NE,Local Access,1,263,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,263,0
8039,13241,ALDER ST NE,Local Access,1,903,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,903,0
8018,3159,NE SPRUCE AVE,Local Access,1,670,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,670,0
8034,4980,NE FIR ST,Local Access,1,416,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,416,0
8043,11254,NE MAPLE AVE,Local Access,1,260,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,260,0
77150,3603,NE LINCOLN RD,Major Collector,1,131,Rural,131,1 North,1 North,131,NA,NA,4,4,NA,6,3,3,6,6,131,786
98041,9347,NE MARINE VIEW DR,Local Access,1,420,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,420,0
80243,15567,WESTERN AVE NE,Local Access,1,37,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,37,0
8046,8726,RASPBERRY PL NE,Local Access,1,607,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,607,0
7033,5123,NORTH RYEN DR NW,Local Access,1,485,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,485,0
