RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,NAME,tomatch,distance,sidewalk_right,sidewalk_left,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
56000,11707,NW SCHUYLER RD,Local Access,2,103,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,103,0
56050,10820,HOLLAND RD NW,Local Access,2,203,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,203,0
56050,7296,HOLLAND RD NW,Local Access,2,207,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,207,0
56050,2883,HOLLAND RD NW,Local Access,2,1369,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1369,0
56050,6573,HOLLAND RD NW,Local Access,2,343,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,343,0
56050,3596,HOLLAND RD NW,Local Access,2,156,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,156,0
56000,9266,NW SCHUYLER RD,Local Access,2,795,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,795,0
12930,3987,SCHULTZ RD NW,Local Access,1,1139,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1139,0
11170,11215,NW SEAVIEW DR,Local Access,1,4276,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4276,0
1055,6163,LOST HWY W,Local Access,1,2504,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2504,0
10700,14865,NW HITE CENTER RD,Local Access,1,2915,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2915,0
10700,7294,NW HITE CENTER RD,Local Access,1,856,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,856,0
19519,4872,CHICO WAY NW,Minor Arterial,2,2392,Urban,2392,3 Central,3 Central,1174,NA,NA,8,6,6,NA,2,2,4,4,1174,4696
19519,4872,CHICO WAY NW,Minor Arterial,2,2392,Urban,2392,3 Central,3 Central,1217,NA,NA,6,6,6,NA,2,2,4,4,1217,4868
19519,703,CHICO WAY NW,Minor Arterial,2,615,Urban,615,3 Central,3 Central,615,NA,NA,8,6,6,NA,2,2,4,4,615,2460
56261,5389,ST CHARLES LN NE,Local Access,2,295,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,295,0
12930,19290,SCHULTZ RD NW,Local Access,1,419,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,419,0
11170,19291,NW SEAVIEW DR,Local Access,1,1356,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1356,0
53970,1345,PETERSVILLE RD NE,Major Collector,2,1311,Urban,1311,3 Central,3 Central,1311,NA,NA,3,NA,6,NA,0,1,1,1,1311,1311
10810,6292,NW STAVIS BAY RD,Local Access,1,349,Rural,349,3 Central,3 Central,349,NA,NA,1,1,NA,3,1,1,2,2,349,698
10810,970,NW STAVIS BAY RD,Local Access,1,1950,Rural,1950,3 Central,3 Central,1950,NA,NA,1,1,NA,3,1,1,2,2,1950,3900
10810,1030,NW STAVIS BAY RD,Local Access,1,1577,Rural,1577,3 Central,3 Central,1577,NA,NA,1,1,NA,3,1,1,2,2,1577,3154
