RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,GMA_JURISD,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
56000,11707,NW SCHUYLER RD,Local Access,2,103,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,103,0
56050,10820,HOLLAND RD NW,Local Access,2,203,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,203,0
56050,7296,HOLLAND RD NW,Local Access,2,207,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,207,0
56050,2883,HOLLAND RD NW,Local Access,2,1369,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1369,0
56050,6573,HOLLAND RD NW,Local Access,2,343,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,343,0
56050,3596,HOLLAND RD NW,Local Access,2,156,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,156,0
56000,9266,NW SCHUYLER RD,Local Access,2,795,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,795,0
56261,5389,ST CHARLES LN NE,Local Access,2,295,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,295,0
56140,1750,NE MCWILLIAMS RD,Minor Arterial,2,621,Urban,621,Central Kitsap UGA,Central Kitsap UGA,184,NA,NA,4,4,6,NA,1,1,2,2,184,368
56140,1750,NE MCWILLIAMS RD,Minor Arterial,2,621,Urban,621,Central Kitsap UGA,Central Kitsap UGA,437,NA,NA,3,5,6,NA,1,1,2,2,437,874
56140,19402,NE MCWILLIAMS RD,Minor Arterial,2,530,Urban,530,Central Kitsap UGA,Central Kitsap UGA,526,NA,NA,4,4,6,NA,1,1,2,2,526,1052
56140,19402,NE MCWILLIAMS RD,Minor Arterial,2,530,Urban,530,Central Kitsap UGA,Central Kitsap UGA,4,NA,NA,4,4,6,NA,1,1,2,2,4,8
50509,10262,TRACYTON BEACH RD NW,Major Collector,2,1114,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1114,0
95013,492,THOMPSON LN NE,Local Access,2,3058,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3058,0
57023,8901,NW GREEN HILL CT,Local Access,2,397,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,397,0
57713,8757,NE MILTON CT,Local Access,2,232,Urban,232,Central Kitsap UGA,Central Kitsap UGA,232,3,NA,NA,NA,5,NA,1,0,1,1,232,232
57711,8194,ST JOHNS PL NE,Local Access,2,310,Urban,310,Central Kitsap UGA,Central Kitsap UGA,310,3,NA,NA,NA,5,NA,1,0,1,1,310,310
57712,7059,NEWTON PL NE,Local Access,2,214,Urban,214,Central Kitsap UGA,Central Kitsap UGA,214,NA,3,NA,NA,5,NA,0,1,1,1,214,214
57015,4681,NW SOLNAE PL,Local Access,2,1040,Urban,1040,Central Kitsap UGA,Central Kitsap UGA,1035,NA,3,NA,NA,5,NA,0,1,1,1,1035,1035
56201,1747,SHADY FOREST PL NE,Local Access,2,182,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,182,0
