RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,sidewalk_left,score_left,score_right,score,the_score,the_length,w_score
44350,3002,CALIFORNIA AVE E,Local Access,1,552,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,552,0
48350,10005,CEDAR ST E,Local Access,1,308,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,308,0
4023,9907,OREGON AVE E,Local Access,1,610,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,610,0
49434,5200,E MANDERS WAY,Local Access,1,201,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,201,0
4023,9556,OREGON AVE E,Local Access,1,361,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,361,0
48800,1382,E HEMLOCK ST,Local Access,1,665,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,665,0
4008,9454,CEDAR ST E,Local Access,1,391,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,391,0
4025,7990,E SUMMIT AVE,Local Access,1,280,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,280,0
4062,14268,GINGER PL E,Local Access,1,778,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,778,0
48187,14191,E CRESTWOOD CT,Local Access,1,557,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,557,0
44350,15527,CALIFORNIA AVE E,Local Access,1,271,Rural,271,15,Manchester Elementary,2,Manchester Elementary,46,NA,4,NA,NA,3,NA,0,5,5,5,46,230
44350,15527,CALIFORNIA AVE E,Local Access,1,271,Rural,271,15,Manchester Elementary,2,Manchester Elementary,53,NA,NA,4,NA,3,NA,5,0,5,5,53,265
49470,18140,NEVADA AVE E,Local Access,1,1048,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1048,0
4065,9789,E LAST REFUGE WAY,Local Access,1,210,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,210,0
44350,15103,CALIFORNIA AVE E,Local Access,1,257,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,257,0
49010,2140,SPRING ST E,Local Access,1,174,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,174,0
49010,7527,SPRING ST E,Local Access,1,258,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,258,0
