RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,NAME,tomatch,distance,sidewalk_right,sidewalk_left,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
2033,12777,WILLIAM HEIGHTS LN SW,Local Access,1,2707,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2707,0
2061,12483,BULL FROG AVE SW,Local Access,1,516,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,516,0
2061,7552,BULL FROG AVE SW,Local Access,1,675,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,675,0
2061,2405,BULL FROG AVE SW,Local Access,1,473,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,473,0
3049,2294,CAVALLI RD SE,Local Access,1,250,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,250,0
15600,14932,BARTOLATZ RD W,Local Access,2,255,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,255,0
44910,3673,MARJORIE LN SE,Local Access,1,1206,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1206,0
44910,19367,MARJORIE LN SE,Local Access,1,1001,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1001,0
42910,10203,JACKSON AVE SE,Minor Arterial,2,1025,Urban,1025,2 South,2 South,1025,NA,NA,3,3,6,NA,1,1,2,2,1025,2050
42910,16055,JACKSON AVE SE,Minor Arterial,2,370,Urban,370,2 South,2 South,312,NA,NA,3,3,6,NA,1,1,2,2,312,624
42910,16055,JACKSON AVE SE,Minor Arterial,2,370,Urban,370,2 South,2 South,58,NA,NA,3,3,6,NA,1,1,2,2,58,116
29200,12166,SW HARPER RD,Local Access,1,1591,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1591,0
23342,13071,COLONY AVE SE,Local Access,1,884,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,884,0
22810,9744,SW CLUB HOUSE CT,Local Access,1,427,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,427,0
40398,3996,SE VALE RD,Local Access,2,328,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,328,0
3001,15495,SE 160TH ST,Minor Arterial,1,0,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
30110,8779,CEDAR PARK RD SE,Local Access,1,1316,Rural,1316,2 South,2 South,1292,NA,NA,2,2,NA,3,1,1,2,2,1292,2584
3001,9174,SE 160TH ST,Local Access,1,442,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,442,0
40490,2328,HARRIS RD SE,Local Access,2,226,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,226,0
33000,3787,SE WILLOCK RD,Local Access,1,548,Rural,548,2 South,2 South,548,NA,NA,2,2,NA,3,1,1,2,2,548,1096
30110,19220,CEDAR PARK RD SE,Local Access,1,669,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,669,0
2060,5057,KODIAK PL SW,Local Access,1,1704,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1704,0
2032,4360,SCHWEITZER PL SW,Local Access,1,4442,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4442,0
49470,8672,NEVADA AVE E,Local Access,1,286,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,286,0
49470,9108,NEVADA AVE E,Local Access,1,232,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,232,0
44350,3002,CALIFORNIA AVE E,Local Access,1,552,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,552,0
49470,18995,NEVADA AVE E,Local Access,1,265,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,265,0
49470,19208,NEVADA AVE E,Local Access,1,256,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,256,0
4031,10725,E MICHIGAN ST,Local Access,1,710,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,710,0
48350,10005,CEDAR ST E,Local Access,1,308,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,308,0
4023,9907,OREGON AVE E,Local Access,1,610,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,610,0
49434,5200,E MANDERS WAY,Local Access,1,201,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,201,0
4023,9556,OREGON AVE E,Local Access,1,361,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,361,0
48800,1382,E HEMLOCK ST,Local Access,1,665,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,665,0
4008,9454,CEDAR ST E,Local Access,1,391,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,391,0
4025,7990,E SUMMIT AVE,Local Access,1,280,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,280,0
4062,14268,GINGER PL E,Local Access,1,778,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,778,0
48187,14191,E CRESTWOOD CT,Local Access,1,557,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,557,0
4055,14177,E FILLMORE ST,Local Access,1,610,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,610,0
47260,7668,E POLK AVE,Local Access,1,1264,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1264,0
44350,15527,CALIFORNIA AVE E,Local Access,1,271,Rural,271,2 South,2 South,17,NA,NA,4,4,NA,3,5,5,10,10,17,170
700,9559,SOUTHWORTH FERRY,Minor Arterial,1,803,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,803,0
21300,3675,SW HUCKLEBERRY RD,Local Access,1,2107,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2107,0
4057,4042,CONNERY LN E,Local Access,1,793,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,793,0
4063,15018,E DELAWARE CT,Local Access,1,232,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,232,0
4063,15016,E DELAWARE CT,Local Access,1,256,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,256,0
4063,15015,E DELAWARE CT,Local Access,1,101,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,101,0
33100,14980,SE FRAGARIA RD,Local Access,1,434,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,434,0
49470,18140,NEVADA AVE E,Local Access,1,1048,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1048,0
4021,4323,BABY DOLL RD E,Local Access,2,1040,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1040,0
4065,9789,E LAST REFUGE WAY,Local Access,1,210,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,210,0
44350,15103,CALIFORNIA AVE E,Local Access,1,257,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,257,0
4045,12232,E INDIANA ST,Local Access,1,327,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,327,0
4064,11245,E MISSOURI ST,Local Access,1,273,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,273,0
2052,8594,SE KIRA ST,Local Access,1,646,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,646,0
32810,4056,HORIZON LANE EAST SE,Local Access,1,324,Rural,324,2 South,2 South,29,NA,NA,3,3,NA,3,5,5,10,10,29,290
3013,3341,SE OLYMPIA ST,Local Access,2,324,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,324,0
3019,9663,SE GILLIO CT,Local Access,1,274,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,274,0
3054,3298,SE MERIDIAN WAY,Local Access,1,1308,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1308,0
3004,7464,CANARY PL SE,Local Access,1,696,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,696,0
3006,3849,ROBIN PL SE,Local Access,1,1091,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1091,0
3019,7125,SE GILLIO CT,Local Access,1,379,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,379,0
3016,7337,BELLINGHAM AVE SE,Local Access,2,336,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,336,0
3016,6007,BELLINGHAM AVE SE,Local Access,2,328,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,328,0
3016,185,BELLINGHAM AVE SE,Local Access,2,320,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,320,0
3016,8635,BELLINGHAM AVE SE,Local Access,2,628,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,628,0
3016,12280,BELLINGHAM AVE SE,Local Access,2,320,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,320,0
3010,5504,GENESIS LN SE,Local Access,1,751,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,751,0
3056,11709,BANEBERRY AVE SE,Local Access,1,1693,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1693,0
31800,4053,SE CULVER ST,Local Access,1,94,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,94,0
3020,1660,ELIOT PL SE,Local Access,1,167,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167,0
3014,10184,SE YAKIMA ST,Local Access,2,662,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,662,0
2026,6003,SUNSHINE GLEN CT SW,Local Access,1,349,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,349,0
2025,10303,SE EDMONDS ST,Local Access,1,676,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,676,0
3013,3723,SE OLYMPIA ST,Local Access,2,465,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,465,0
3005,11548,BLUE JAY PL SE,Local Access,1,242,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,242,0
3014,11700,SE YAKIMA ST,Local Access,2,642,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,642,0
2026,9684,SUNSHINE GLEN CT SW,Local Access,1,204,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,204,0
2026,4628,SUNSHINE GLEN CT SW,Local Access,1,349,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,349,0
3003,2804,ALPINWOOD PL SE,Local Access,1,704,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,704,0
3057,9308,OLD BANNER RD SE,Local Access,1,303,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,303,0
3057,5964,OLD BANNER RD SE,Local Access,1,79,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,79,0
3055,13305,LUNA VISTA AVE SE,Local Access,1,649,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,649,0
4032,4496,SE GLENDALE AVE,Local Access,1,384,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,384,0
3007,12945,2ND AVE SE,Local Access,1,571,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,571,0
43315,11241,PEPPERMILL PL SE,Local Access,1,546,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,546,0
4003,589,SE SLEEPY HOLLOW CT,Local Access,1,1391,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1391,0
33100,19245,SE FRAGARIA RD,Local Access,1,186,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,186,0
2027,10417,SW ALTA VISTA DR,Local Access,1,3767,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3767,0
15080,14215,SW BARNEY WHITE RD,Local Access,2,1168,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1168,0
42510,9619,BEACH DR E,Minor Arterial,2,30,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30,0
32309,18303,BANNER RD SE,Major Collector,1,30,Rural,30,2 South,2 South,30,NA,NA,5,5,NA,6,3,3,6,6,30,180
32309,18561,BANNER RD SE,Major Collector,1,11,Rural,11,2 South,2 South,11,NA,NA,5,5,NA,6,3,3,6,6,11,66
42510,18680,BEACH DR E,Minor Arterial,1,29,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29,0
2028,19268,SW LOGAN RD,Local Access,1,444,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,444,0
4054,8244,SE CAROUSEL LN,Local Access,2,776,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,776,0
47110,5838,SADDLE CLUB RD SE,Local Access,2,880,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,880,0
4028,7850,SADDLE CLUB RD SE,Local Access,1,703,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,703,0
41570,1085,SE LINCOLN AVE,Major Collector,2,152,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,152,0
42910,3952,JACKSON AVE SE,Minor Arterial,2,100,Urban,100,2 South,2 South,100,NA,NA,3,3,6,NA,1,1,2,2,100,200
4018,12735,SE MCKINLEY ST,Local Access,1,351,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,351,0
42050,1683,SE HORSTMAN RD,Local Access,1,116,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,116,0
4040,5190,CHERRY PL SE,Local Access,1,159,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,159,0
3026,4456,SE BANFILL RD,Local Access,1,341,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,341,0
35000,29,SE NORTH ST,Local Access,1,1145,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1145,0
33500,6580,SE RAVENRIDGE CT,Local Access,1,984,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,984,0
4004,11264,AIKEN RD SE,Local Access,2,691,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,691,0
3029,1539,VIEW DR SE,Local Access,1,122,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,122,0
43316,10163,SE PRAIRIE CT,Local Access,1,193,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,193,0
4039,7258,CREEK VIEW CT SE,Local Access,1,629,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,629,0
29200,19250,SW HARPER RD,Local Access,1,710,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,710,0
40490,19251,HARRIS RD SE,Local Access,2,191,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,191,0
41570,4587,SE LINCOLN AVE,Major Collector,2,230,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,230,0
32950,19265,LAWRENCE DR SE,Local Access,1,652,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,652,0
3039,10547,CEDAR GLEN LN SE,Local Access,1,2213,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2213,0
2062,2290,SW DAHLIA WAY,Local Access,1,1494,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1494,0
32170,12633,ORCHARD AVE SE,Local Access,1,2652,Rural,2652,2 South,2 South,5,NA,NA,2,2,NA,3,1,1,2,2,5,10
32170,12633,ORCHARD AVE SE,Local Access,1,2652,Rural,2652,2 South,2 South,1,NA,NA,2,2,NA,3,1,1,2,2,1,2
32170,12633,ORCHARD AVE SE,Local Access,1,2652,Rural,2652,2 South,2 South,2645,NA,NA,2,2,NA,3,1,1,2,2,2645,5290
34702,9688,SE GROVEWOOD ST,Local Access,2,751,Urban,751,2 South,2 South,751,NA,NA,NA,3,5,NA,1,0,1,1,751,751
31009,9661,SE MULLENIX RD,Major Collector,1,1170,Rural,1170,2 South,2 South,1170,NA,NA,4,4,NA,6,3,3,6,6,1170,7020
40618,9596,BRADY PL SE,Local Access,2,494,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,494,0
23760,4882,SE BURLEY OLALLA RD,Major Collector,1,1332,Rural,1332,2 South,2 South,1332,NA,NA,5,5,NA,6,3,3,6,6,1332,7992
34286,9424,SE BANDERA CT,Local Access,2,1106,Urban,1106,2 South,2 South,1106,NA,NA,2,2,5,NA,1,1,2,2,1106,2212
33610,12317,CABRINI DR SE,Local Access,2,233,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,233,0
40202,8480,SE VILLA CARMEL DR,Local Access,2,141,Urban,141,2 South,2 South,140,NA,NA,1,1,5,NA,1,1,2,2,140,280
35000,12299,SE NORTH ST,Local Access,1,662,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,662,0
35000,8876,SE NORTH ST,Local Access,1,358,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,358,0
35000,8636,SE NORTH ST,Local Access,1,294,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,294,0
35000,9832,SE NORTH ST,Local Access,1,301,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,301,0
40551,8562,DEL TORMEY PL SE,Local Access,2,536,Urban,536,2 South,2 South,523,NA,NA,NA,3,5,NA,1,0,1,1,523,523
34265,7639,SE KARLI WAY,Local Access,2,942,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,942,0
40510,7591,RHAPSODY DR SE,Local Access,2,713,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,713,0
34293,8352,YOSEMITE PL SE,Local Access,2,677,Urban,677,2 South,2 South,675,NA,NA,2,2,5,NA,1,1,2,2,675,1350
40590,8281,SE ARIE CT,Local Access,2,521,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,521,0
32930,8285,WYVERN DR SE,Local Access,1,2488,Rural,2488,2 South,2 South,2469,NA,NA,1,1,NA,3,1,1,2,2,2469,4938
35000,8008,SE NORTH ST,Local Access,1,547,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,547,0
35000,5271,SE NORTH ST,Local Access,1,148,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148,0
35000,1257,SE NORTH ST,Local Access,1,847,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,847,0
35000,13004,SE NORTH ST,Local Access,1,91,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,91,0
34288,12956,ZION PL SE,Local Access,2,625,Urban,625,2 South,2 South,584,NA,NA,2,2,5,NA,1,1,2,2,584,1168
36740,12826,SE OVERAA RD,Local Access,1,1213,Rural,1213,2 South,2 South,1213,NA,NA,3,3,NA,3,5,5,10,10,1213,12130
40490,12850,HARRIS RD SE,Local Access,2,520,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,520,0
33490,9642,EBBERT DR SE,Local Access,1,631,Rural,631,2 South,2 South,631,NA,NA,1,1,NA,3,1,1,2,2,631,1262
32309,12410,BANNER RD SE,Major Collector,1,1990,Rural,1990,2 South,2 South,1990,NA,NA,5,5,NA,6,3,3,6,6,1990,11940
35090,12422,RICHARDS AVE SE,Local Access,1,328,Rural,328,2 South,2 South,328,NA,NA,3,5,NA,3,5,5,10,10,328,3280
33490,12233,EBBERT DR SE,Local Access,1,653,Rural,653,2 South,2 South,653,NA,NA,1,1,NA,3,1,1,2,2,653,1306
30509,12190,LONG LAKE RD SE,Major Collector,2,2580,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2580,0
