RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
42910,3952,JACKSON AVE SE,Minor Arterial,2,100,Urban,100,15,Orchard Heights Elementary,2,Orchard Heights Elementary,30,NA,NA,3,3,6,NA,1,1,2,2,30,60
46820,18214,SE LOVELL ST,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
43910,352,PAYSENO LN SE,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
46730,18607,RUSSELL AVE SE,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
43910,14955,PAYSENO LN SE,Local Access,2,63,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,63,0
46890,7302,WARNER AVE SE,Local Access,2,374,Urban,374,15,Orchard Heights Elementary,2,Orchard Heights Elementary,50,NA,NA,2,1,5,NA,1,1,2,2,50,100
46890,8143,WARNER AVE SE,Local Access,2,413,Urban,413,15,Orchard Heights Elementary,2,Orchard Heights Elementary,126,NA,NA,2,1,5,NA,1,1,2,2,126,252
45720,1363,ASPEN ST SE,Local Access,2,195,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,195,0
46930,259,MARLIN DR SE,Local Access,2,1037,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1037,0
46790,5173,WHITTIER AVE SE,Local Access,2,564,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,564,0
45720,6948,ASPEN ST SE,Local Access,2,348,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,348,0
45720,6011,ASPEN ST SE,Local Access,2,415,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,415,0
43935,8004,MADRONA DR SE,Local Access,2,252,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,252,0
43935,7837,MADRONA DR SE,Local Access,2,120,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,120,0
43800,6109,SE TAMARACK DR,Local Access,2,599,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,599,0
43970,6323,LODGEPOLE DR SE,Local Access,2,565,Urban,565,15,Orchard Heights Elementary,2,Orchard Heights Elementary,172,NA,3,NA,NA,5,NA,0,1,1,1,172,172
43460,6520,SE CONIFER PARK DR,Local Access,2,798,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,798,0
43935,6974,MADRONA DR SE,Local Access,2,116,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,116,0
43935,10579,MADRONA DR SE,Local Access,2,320,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,320,0
43935,6945,MADRONA DR SE,Local Access,2,689,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,689,0
43560,5814,GRAND FIR PL SE,Local Access,2,536,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,536,0
43460,1138,SE CONIFER PARK DR,Local Access,2,202,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,202,0
43990,8923,FIRCREST DR SE,Local Access,2,275,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,275,0
43507,1429,CATALPA DR SE,Local Access,2,489,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,489,0
43935,15224,MADRONA DR SE,Local Access,2,580,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,580,0
43935,2872,MADRONA DR SE,Local Access,2,291,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,291,0
43935,12577,MADRONA DR SE,Local Access,2,412,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,412,0
43980,5620,SE LODGEPOLE CT,Local Access,2,333,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,333,0
43935,4670,MADRONA DR SE,Local Access,2,327,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,327,0
43800,3660,SE TAMARACK DR,Local Access,2,130,Urban,130,15,Orchard Heights Elementary,2,Orchard Heights Elementary,0,NA,NA,3,NA,5,NA,0,1,1,1,0,0
43935,3063,MADRONA DR SE,Local Access,2,451,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,451,0
43935,5141,MADRONA DR SE,Local Access,2,166,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,166,0
43935,12575,MADRONA DR SE,Local Access,2,467,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,467,0
43970,1010,LODGEPOLE DR SE,Local Access,2,695,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,695,0
43463,2647,PARKINGTON PL SE,Local Access,2,193,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,193,0
43990,11985,FIRCREST DR SE,Local Access,2,854,Urban,854,15,Orchard Heights Elementary,2,Orchard Heights Elementary,70,NA,NA,5,5,5,NA,2,2,4,4,70,280
43990,7456,FIRCREST DR SE,Local Access,2,1420,Urban,1420,15,Orchard Heights Elementary,2,Orchard Heights Elementary,52,NA,NA,5,5,5,NA,2,2,4,4,52,208
43990,7456,FIRCREST DR SE,Local Access,2,1420,Urban,1420,15,Orchard Heights Elementary,2,Orchard Heights Elementary,432,NA,NA,NA,3,5,NA,1,0,1,1,432,432
43990,9219,FIRCREST DR SE,Local Access,2,395,Urban,395,15,Orchard Heights Elementary,2,Orchard Heights Elementary,120,NA,NA,5,5,5,NA,2,2,4,4,120,480
43990,9219,FIRCREST DR SE,Local Access,2,395,Urban,395,15,Orchard Heights Elementary,2,Orchard Heights Elementary,48,NA,NA,NA,3,5,NA,1,0,1,1,48,48
43990,12823,FIRCREST DR SE,Local Access,2,561,Urban,561,15,Orchard Heights Elementary,2,Orchard Heights Elementary,53,3,NA,NA,NA,5,NA,1,0,1,1,53,53
43990,12823,FIRCREST DR SE,Local Access,2,561,Urban,561,15,Orchard Heights Elementary,2,Orchard Heights Elementary,171,NA,NA,NA,3,5,NA,1,0,1,1,171,171
43990,7788,FIRCREST DR SE,Local Access,2,231,Urban,231,15,Orchard Heights Elementary,2,Orchard Heights Elementary,70,3,NA,NA,NA,5,NA,1,0,1,1,70,70
43990,7788,FIRCREST DR SE,Local Access,2,231,Urban,231,15,Orchard Heights Elementary,2,Orchard Heights Elementary,54,NA,NA,4,NA,5,NA,0,1,1,1,54,54
43990,7788,FIRCREST DR SE,Local Access,2,231,Urban,231,15,Orchard Heights Elementary,2,Orchard Heights Elementary,46,NA,NA,NA,3,5,NA,1,0,1,1,46,46
43990,8569,FIRCREST DR SE,Local Access,2,168,Urban,168,15,Orchard Heights Elementary,2,Orchard Heights Elementary,44,3,NA,NA,NA,5,NA,1,0,1,1,44,44
43990,8569,FIRCREST DR SE,Local Access,2,168,Urban,168,15,Orchard Heights Elementary,2,Orchard Heights Elementary,51,NA,NA,4,NA,5,NA,0,1,1,1,51,51
43990,6837,FIRCREST DR SE,Local Access,2,838,Urban,838,15,Orchard Heights Elementary,2,Orchard Heights Elementary,255,NA,NA,4,NA,5,NA,0,1,1,1,255,255
43990,7798,FIRCREST DR SE,Local Access,2,236,Urban,236,15,Orchard Heights Elementary,2,Orchard Heights Elementary,47,NA,NA,4,NA,5,NA,0,1,1,1,47,47
43990,3164,FIRCREST DR SE,Local Access,2,149,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149,0
43990,5711,FIRCREST DR SE,Local Access,2,527,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,527,0
43970,12290,LODGEPOLE DR SE,Local Access,2,242,Urban,242,15,Orchard Heights Elementary,2,Orchard Heights Elementary,21,NA,3,NA,NA,5,NA,0,1,1,1,21,21
45720,12244,ASPEN ST SE,Local Access,2,1729,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1729,0
43935,12796,MADRONA DR SE,Local Access,2,446,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,446,0
45740,11813,PONDEROSA DR SE,Local Access,2,479,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,479,0
43935,11457,MADRONA DR SE,Local Access,2,856,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,856,0
43935,11272,MADRONA DR SE,Local Access,2,165,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165,0
43935,7688,MADRONA DR SE,Local Access,2,398,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,398,0
43790,11976,FERN CT SE,Local Access,2,89,Urban,89,15,Orchard Heights Elementary,2,Orchard Heights Elementary,27,NA,NA,17,17,5,NA,2,2,4,4,27,108
43370,12362,SE PINE TREE DR,Local Access,2,327,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,327,0
43370,9702,SE PINE TREE DR,Local Access,2,551,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,551,0
43340,3594,SE JUNIPER CT,Local Access,2,610,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,610,0
43935,9354,MADRONA DR SE,Local Access,2,141,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141,0
45740,4783,PONDEROSA DR SE,Local Access,2,633,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,633,0
43800,8203,SE TAMARACK DR,Local Access,2,299,Urban,299,15,Orchard Heights Elementary,2,Orchard Heights Elementary,91,NA,NA,3,NA,5,NA,0,1,1,1,91,91
43800,8203,SE TAMARACK DR,Local Access,2,299,Urban,299,15,Orchard Heights Elementary,2,Orchard Heights Elementary,90,NA,NA,NA,3,5,NA,1,0,1,1,90,90
42050,2912,SE HORSTMAN RD,Local Access,2,670,Urban,670,15,Orchard Heights Elementary,2,Orchard Heights Elementary,50,NA,NA,1,1,5,NA,1,1,2,2,50,100
42050,2912,SE HORSTMAN RD,Local Access,2,670,Urban,670,15,Orchard Heights Elementary,2,Orchard Heights Elementary,158,NA,NA,1,1,5,NA,1,1,2,2,158,316
45740,8572,PONDEROSA DR SE,Local Access,2,291,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,291,0
46850,9558,LIDSTROM RD SE,Local Access,2,524,Urban,524,15,Orchard Heights Elementary,2,Orchard Heights Elementary,118,NA,NA,3,2,5,NA,1,1,2,2,118,236
43935,5648,MADRONA DR SE,Local Access,2,376,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,376,0
43935,5664,MADRONA DR SE,Local Access,2,279,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,279,0
43990,14197,FIRCREST DR SE,Local Access,2,71,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,71,0
