RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,PLAN_AREA,TYPE.1,DATE_ADOPT,BCC_RESOLU,islamird,tomatch,distance,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,sidewalk_left,score_left,score_right,score,the_score,the_length,w_score
47262,6264,RICKY CT E,Local Access,1,613,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,613,0
42510,15685,BEACH DR E,Minor Arterial,1,1196,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1196,0
48200,6701,E CENTER ST,Local Access,1,1312,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1312,0
44350,5893,CALIFORNIA AVE E,Major Collector,1,323,Rural,323,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,323,NA,1,1,NA,6,NA,1,1,2,2,323,646
48260,5547,E MAPLE ST,Local Access,1,864,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,864,0
48187,14269,E CRESTWOOD CT,Local Access,1,211,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,211,0
48187,10362,E CRESTWOOD CT,Local Access,1,151,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,151,0
44350,12672,CALIFORNIA AVE E,Major Collector,1,154,Rural,154,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,154,NA,1,1,NA,6,NA,1,1,2,2,154,308
48184,11465,E CASCADE DR,Local Access,1,1611,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1611,0
48183,2261,TIMBER TRAIL RD E,Local Access,1,299,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,299,0
48183,8375,TIMBER TRAIL RD E,Local Access,1,306,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,306,0
44350,8674,CALIFORNIA AVE E,Major Collector,1,663,Rural,663,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,663,NA,1,1,NA,6,NA,1,1,2,2,663,1326
44350,9971,CALIFORNIA AVE E,Local Access,1,441,Rural,441,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,2,NA,1,1,NA,3,NA,1,1,2,2,2,4
44350,9971,CALIFORNIA AVE E,Local Access,1,441,Rural,441,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,295,NA,4,NA,NA,3,NA,0,5,5,5,295,1475
44350,9971,CALIFORNIA AVE E,Local Access,1,441,Rural,441,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,11,NA,NA,4,NA,3,NA,5,0,5,5,11,55
48350,7812,CEDAR ST E,Local Access,1,659,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,659,0
49370,1478,E CARAWAY RD,Local Access,1,815,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,815,0
47414,11706,LUCERO PL E,Local Access,1,190,Rural,190,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,190,NA,NA,3,NA,3,NA,5,0,5,5,190,950
49010,11577,SPRING ST E,Local Access,1,266,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,266,0
47260,12230,E POLK AVE,Local Access,1,348,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,348,0
48500,3552,E WYOMING ST,Local Access,1,643,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,643,0
48800,346,E HEMLOCK ST,Local Access,1,135,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135,0
44350,6099,CALIFORNIA AVE E,Major Collector,1,185,Rural,185,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,185,NA,1,1,NA,6,NA,1,1,2,2,185,370
44350,4989,CALIFORNIA AVE E,Major Collector,1,303,Rural,303,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,303,NA,1,1,NA,6,NA,1,1,2,2,303,606
48210,3412,E ALKI VIEW CT,Local Access,1,1152,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1152,0
48180,3056,E VAN BUREN ST,Local Access,1,1318,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1318,0
44350,5153,CALIFORNIA AVE E,Major Collector,1,343,Rural,343,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,343,NA,1,1,NA,6,NA,1,1,2,2,343,686
44350,1410,CALIFORNIA AVE E,Major Collector,1,334,Rural,334,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,334,NA,1,1,NA,6,NA,1,1,2,2,334,668
49040,6730,E MAPLE ST,Local Access,1,643,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,643,0
48220,3992,E COLLINS RD,Local Access,1,1147,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1147,0
48670,4987,E ALDER ST,Local Access,1,311,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,311,0
48670,1875,E ALDER ST,Local Access,1,329,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,329,0
48183,2692,TIMBER TRAIL RD E,Local Access,1,262,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,262,0
47245,2701,SE LEGRAND ST,Local Access,1,1304,Rural,1304,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,1303,NA,2,2,NA,3,NA,1,1,2,2,1303,2606
48350,12377,CEDAR ST E,Local Access,1,304,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,304,0
48180,12670,E VAN BUREN ST,Local Access,1,207,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,207,0
48180,12434,E VAN BUREN ST,Local Access,1,313,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,313,0
49400,10978,E DANIELS LOOP,Local Access,1,1329,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1329,0
49210,939,3RD AVE E,Local Access,1,658,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,658,0
49435,10684,E MAIN ST,Minor Arterial,1,203,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,203,0
48180,10513,E VAN BUREN ST,Local Access,1,269,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,269,0
49370,11456,E CARAWAY RD,Local Access,1,2178,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2178,0
44350,11501,CALIFORNIA AVE E,Major Collector,1,329,Rural,329,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,329,NA,1,1,NA,6,NA,1,1,2,2,329,658
47230,12064,SE KANSAS ST,Local Access,1,654,Rural,654,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,653,NA,2,2,NA,3,NA,1,1,2,2,653,1306
47250,8832,ALASKA AVE SE,Major Collector,1,323,Rural,323,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,323,NA,3,3,NA,6,NA,1,1,2,2,323,646
44350,10430,CALIFORNIA AVE E,Major Collector,1,330,Rural,330,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,330,NA,1,1,NA,6,NA,1,1,2,2,330,660
47230,9216,SE KANSAS ST,Local Access,1,657,Rural,657,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,657,NA,2,2,NA,3,NA,1,1,2,2,657,1314
44350,9351,CALIFORNIA AVE E,Major Collector,1,328,Rural,328,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,328,NA,1,1,NA,6,NA,1,1,2,2,328,656
48180,10385,E VAN BUREN ST,Local Access,1,308,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,308,0
48186,10301,E PATRICIA ST,Local Access,1,544,Rural,544,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,519,3,NA,NA,NA,3,NA,0,5,5,5,519,2595
48183,7638,TIMBER TRAIL RD E,Local Access,1,248,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,248,0
49430,4124,COLCHESTER DR SE,Minor Arterial,1,1747,Rural,1747,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,1743,NA,6,4,NA,4,NA,5,5,10,10,1743,17430
48675,9760,VALLEY AVE E,Local Access,1,262,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,262,0
47250,7218,ALASKA AVE SE,Major Collector,1,462,Rural,462,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,462,NA,3,3,NA,6,NA,1,1,2,2,462,924
49430,14243,COLCHESTER DR SE,Minor Arterial,1,192,Rural,192,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,192,NA,6,4,NA,4,NA,5,5,10,10,192,1920
47235,9609,SE MARION ST,Local Access,1,969,Rural,969,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,969,NA,2,2,NA,3,NA,1,1,2,2,969,1938
48675,10340,VALLEY AVE E,Local Access,1,263,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,263,0
47210,11131,NEBRASKA ST SE,Local Access,1,662,Rural,662,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,662,NA,2,NA,NA,3,NA,0,1,1,1,662,662
48420,1464,E GRANDVIEW ST,Local Access,1,376,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,376,0
48300,7872,E CHESTER RD,Local Access,1,500,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,500,0
48183,8390,TIMBER TRAIL RD E,Local Access,1,261,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,261,0
4043,11046,CORLISS ST,Local Access,1,196,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,196,0
47240,15141,SE GRANT ST,Local Access,1,183,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,183,0
43809,15231,MADRONE AVE E,Major Collector,1,83,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,83,0
47280,15547,SE TRUMAN ST,Local Access,1,197,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,197,0
48189,11411,E RAINTREE LN,Local Access,1,1052,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1052,0
47250,5221,ALASKA AVE E,Major Collector,1,192,Rural,192,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,192,NA,3,3,NA,6,NA,1,1,2,2,192,384
48186,1476,E PATRICIA ST,Local Access,1,938,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,938,0
47250,985,ALASKA AVE E,Major Collector,1,810,Rural,810,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,810,NA,3,3,NA,6,NA,1,1,2,2,810,1620
48160,12433,E HARRISON ST,Local Access,1,1140,Rural,1140,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,1138,NA,2,2,NA,3,NA,1,1,2,2,1138,2276
49435,468,E MAIN ST,Major Collector,1,78,Rural,78,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,78,5,NA,NA,NA,6,NA,0,5,5,5,78,390
47410,14307,PUGET DR E,Local Access,1,415,Rural,415,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,415,NA,2,2,NA,3,NA,1,1,2,2,415,830
4061,13142,E JESSICA WAY,Local Access,1,372,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,372,0
47250,6589,ALASKA AVE E,Major Collector,1,330,Rural,330,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,330,NA,3,3,NA,6,NA,1,1,2,2,330,660
47250,9165,ALASKA AVE E,Major Collector,1,1330,Rural,1330,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,1330,NA,3,3,NA,6,NA,1,1,2,2,1330,2660
47250,12774,ALASKA AVE E,Major Collector,1,483,Rural,483,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,483,NA,3,3,NA,6,NA,1,1,2,2,483,966
47250,10964,ALASKA AVE E,Major Collector,1,293,Rural,293,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,293,NA,3,3,NA,6,NA,1,1,2,2,293,586
47250,13253,ALASKA AVE E,Major Collector,1,282,Rural,282,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,282,NA,3,3,NA,6,NA,1,1,2,2,282,564
47250,1503,ALASKA AVE E,Major Collector,1,248,Rural,248,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,248,NA,3,3,NA,6,NA,1,1,2,2,248,496
47250,9391,ALASKA AVE E,Local Access,1,263,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,263,0
47250,10531,ALASKA AVE E,Local Access,1,260,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,260,0
47380,2638,SE MONTE BELLA PL,Local Access,1,1100,Rural,1100,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,1093,NA,2,2,NA,3,NA,1,1,2,2,1093,2186
47340,11535,SE BLAKE VIEW DR,Local Access,1,912,Rural,912,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,895,NA,2,2,NA,3,NA,1,1,2,2,895,1790
49430,12223,COLCHESTER DR E,Minor Arterial,1,623,Rural,623,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,623,NA,6,4,NA,4,NA,5,5,10,10,623,6230
49430,12733,COLCHESTER DR E,Minor Arterial,1,1239,Rural,1239,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,1239,NA,6,4,NA,4,NA,5,5,10,10,1239,12390
49430,8710,COLCHESTER DR E,Minor Arterial,1,62,Rural,62,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,62,NA,6,4,NA,4,NA,5,5,10,10,62,620
49430,10207,COLCHESTER DR E,Minor Arterial,1,628,Rural,628,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,246,NA,6,4,NA,4,NA,5,5,10,10,246,2460
49430,10207,COLCHESTER DR E,Minor Arterial,1,628,Rural,628,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,382,NA,NA,4,NA,4,NA,5,0,5,5,382,1910
44350,3887,CALIFORNIA AVE SE,Major Collector,1,305,Rural,305,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,305,NA,1,1,NA,6,NA,1,1,2,2,305,610
46550,6742,E DAKOTA ST,Local Access,1,643,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,643,0
44350,644,CALIFORNIA AVE SE,Local Access,1,1352,Rural,1352,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,5,NA,1,1,NA,3,NA,1,1,2,2,5,10
44350,644,CALIFORNIA AVE SE,Local Access,1,1352,Rural,1352,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,24,NA,1,NA,NA,3,NA,0,1,1,1,24,24
44350,644,CALIFORNIA AVE SE,Local Access,1,1352,Rural,1352,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,23,NA,NA,1,NA,3,NA,1,0,1,1,23,23
44350,61,CALIFORNIA AVE SE,Major Collector,1,334,Rural,334,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,334,NA,1,1,NA,6,NA,1,1,2,2,334,668
47250,14880,ALASKA AVE SE,Major Collector,1,840,Rural,840,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,840,NA,3,3,NA,6,NA,1,1,2,2,840,1680
47250,846,ALASKA AVE SE,Major Collector,1,159,Rural,159,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,159,NA,3,3,NA,6,NA,1,1,2,2,159,318
47210,4786,NEBRASKA ST SE,Local Access,1,311,Rural,311,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,277,NA,2,NA,NA,3,NA,0,1,1,1,277,277
49010,15232,SPRING ST E,Local Access,1,43,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,43,0
49100,7378,E FIR ST,Local Access,1,645,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,645,0
49435,3562,E MAIN ST,Major Collector,1,243,Rural,243,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,116,5,NA,NA,NA,6,NA,0,5,5,5,116,580
49330,1521,1ST AVE E,Local Access,1,315,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,315,0
49270,1286,2ND AVE E,Local Access,1,901,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,901,0
47250,1045,ALASKA AVE E,Local Access,1,328,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,328,0
43809,9360,MADRONE AVE E,Major Collector,1,1077,Rural,1077,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,1007,5,NA,NA,NA,6,NA,0,5,5,5,1007,5035
44350,3215,CALIFORNIA AVE SE,Major Collector,1,356,Rural,356,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,356,NA,1,1,NA,6,NA,1,1,2,2,356,712
44350,1482,CALIFORNIA AVE SE,Major Collector,1,328,Rural,328,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,328,NA,1,1,NA,6,NA,1,1,2,2,328,656
47250,349,ALASKA AVE E,Local Access,1,526,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,526,0
47250,10721,ALASKA AVE E,Local Access,1,222,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,222,0
47250,7245,ALASKA AVE E,Local Access,1,770,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,770,0
47250,1647,ALASKA AVE E,Local Access,1,435,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,435,0
49430,706,COLCHESTER DR SE,Minor Arterial,1,200,Rural,200,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,200,NA,6,4,NA,4,NA,5,5,10,10,200,2000
47410,168,PUGET DR SE,Local Access,1,837,Rural,837,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,831,NA,2,2,NA,3,NA,1,1,2,2,831,1662
43809,307,E MADRONE AVE,Major Collector,1,177,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,177,0
44350,678,CALIFORNIA AVE SE,Major Collector,1,310,Rural,310,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,310,NA,1,1,NA,6,NA,1,1,2,2,310,620
48740,8027,E CRICKET LN,Local Access,1,711,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,711,0
47220,3216,SE CLEVELAND AVE,Local Access,1,1318,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1318,0
47301,10247,COLE LOOP SE,Local Access,1,936,Rural,936,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,222,NA,1,NA,NA,3,NA,0,1,1,1,222,222
