RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,GMA_JURISD,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
15650,13741,W SHERMAN HEIGHTS RD,Local Access,2,750,Urban,750,Bremerton West UGA,Bremerton West UGA,750,NA,NA,3,NA,5,NA,0,1,1,1,750,750
15650,19422,W SHERMAN HEIGHTS RD,Local Access,2,221,Urban,221,Bremerton West UGA,Bremerton West UGA,221,NA,NA,3,NA,5,NA,0,1,1,1,221,221
18430,872,MATHEWS DR NW,Local Access,2,428,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,428,0
17800,18405,BURWELL ST,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
17090,18411,S CONSTITUTION AVE,Local Access,2,35,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,0
18412,18509,S CHARLESTON AVE,Local Access,2,36,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,36,0
17402,4233,W WERNER RD,Major Collector,2,322,Urban,322,Bremerton West UGA,Bremerton West UGA,322,NA,NA,4,4,6,NA,1,1,2,2,322,644
17402,7622,W WERNER RD,Major Collector,2,340,Urban,340,Bremerton West UGA,Bremerton West UGA,340,NA,NA,4,4,6,NA,1,1,2,2,340,680
18410,3446,NW HOPE ST,Local Access,2,390,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,390,0
18520,12738,PRICE RD,Major Collector,2,334,Urban,334,Bremerton West UGA,Bremerton West UGA,334,NA,NA,2,2,6,NA,1,1,2,2,334,668
18150,11720,ROCKY POINT RD NW,Major Collector,2,161,Urban,161,Bremerton West UGA,Bremerton West UGA,161,NA,NA,NA,3,6,NA,1,0,1,1,161,161
18150,11719,ROCKY POINT RD NW,Major Collector,2,667,Urban,667,Bremerton West UGA,Bremerton West UGA,667,NA,NA,NA,3,6,NA,1,0,1,1,667,667
18150,14294,ROCKY POINT RD NW,Major Collector,2,281,Urban,281,Bremerton West UGA,Bremerton West UGA,281,NA,NA,NA,3,6,NA,1,0,1,1,281,281
18550,7383,FRANCIS AVE NW,Local Access,2,365,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,365,0
16330,15561,S NATIONAL AVE,Major Collector,2,39,Urban,39,Bremerton West UGA,Bremerton West UGA,39,NA,NA,8,8,6,NA,2,2,4,4,39,156
18220,7775,NW OLDER AVE,Local Access,2,383,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,383,0
17932,8097,NW 18TH ST,Local Access,2,410,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,410,0
17932,7278,NW 18TH ST,Local Access,2,451,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,451,0
17932,1097,NW 18TH ST,Local Access,2,426,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,426,0
17001,2267,W F ST,Local Access,2,88,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,88,0
17600,13988,W M ST,Local Access,2,249,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,249,0
16330,15560,S NATIONAL AVE,Major Collector,2,11,Urban,11,Bremerton West UGA,Bremerton West UGA,11,NA,NA,8,8,6,NA,2,2,4,4,11,44
16330,13794,S NATIONAL AVE,Major Collector,2,198,Urban,198,Bremerton West UGA,Bremerton West UGA,194,NA,NA,8,8,6,NA,2,2,4,4,194,776
16330,13794,S NATIONAL AVE,Major Collector,2,198,Urban,198,Bremerton West UGA,Bremerton West UGA,3,NA,NA,NA,3,6,NA,1,0,1,1,3,3
17130,10927,MCCOLLUM AVE,Local Access,2,201,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,201,0
18181,696,NW HOLLY BEACH CT,Local Access,2,330,Urban,330,Bremerton West UGA,Bremerton West UGA,323,NA,NA,1,1,5,NA,1,1,2,2,323,646
17430,9330,BROAD ST W,Local Access,2,503,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,503,0
18150,12521,ROCKY POINT RD NW,Major Collector,2,334,Urban,334,Bremerton West UGA,Bremerton West UGA,334,NA,NA,NA,3,6,NA,1,0,1,1,334,334
18150,10458,ROCKY POINT RD NW,Major Collector,2,190,Urban,190,Bremerton West UGA,Bremerton West UGA,190,NA,NA,NA,3,6,NA,1,0,1,1,190,190
16330,13991,S NATIONAL AVE,Major Collector,2,119,Urban,119,Bremerton West UGA,Bremerton West UGA,119,NA,NA,NA,3,6,NA,1,0,1,1,119,119
17280,13989,W I ST,Local Access,2,666,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,666,0
